"","合計コスト($)"
"合計","108.4425485416"
"2024-07-01","13.1747780399"
"2024-07-02","2.5937739835"
"2024-07-03","2.6144622482"
"2024-07-04","2.4682764895"
"2024-07-05","2.4780647234"
"2024-07-06","2.4756275447"
"2024-07-07","2.4665318656"
"2024-07-08","2.667453089"
"2024-07-09","2.9243942419"
"2024-07-10","2.9820299096"
"2024-07-11","2.7983868259"
"2024-07-12","2.8080936799"
"2024-07-13","2.8157740542"
"2024-07-14","2.8887655763"
"2024-07-15","2.9338428047"
"2024-07-16","2.8671439795"
"2024-07-17","2.8876585445"
"2024-07-18","3.0679424682"
"2024-07-19","3.082186084"
"2024-07-20","3.074096031"
"2024-07-21","3.079226812"
"2024-07-22","3.0671165814"
"2024-07-23","3.0731102479"
"2024-07-24","3.1079169262"
"2024-07-25","4.3308868603"
"2024-07-26","4.4209969464"
"2024-07-27","4.4336077911"
"2024-07-28","4.4391471269"
"2024-07-29","4.4448876585"
"2024-07-30","4.4265587102"
"2024-07-31","3.5498106972"